2025-01-07 15:21:01 | log_test.cpp | main | 8 | This is a debug message.
2025-01-07 15:21:01 | log_test.cpp | main | 9 | This is an info message.
2025-01-07 15:21:01 | log_test.cpp | main | 10 | This is a notice message.
2025-01-07 15:21:01 | log_test.cpp | main | 11 | This is a warning message.
2025-01-07 15:21:01 | log_test.cpp | main | 12 | This is an error message.
2025-01-07 15:21:01 | log_test.cpp | main | 13 | This is a critical message.
2025-01-07 15:21:01 | log_test.cpp | main | 14 | This is an alert message.
2025-01-07 15:21:01 | log_test.cpp | main | 15 | This is an emergency message.
2025-01-07 15:21:33 | log_test.cpp | main | 8 | This is a debug message.
2025-01-07 15:21:33 | log_test.cpp | main | 9 | This is an info message.
2025-01-07 15:21:33 | log_test.cpp | main | 10 | This is a notice message.
2025-01-07 15:21:33 | log_test.cpp | main | 11 | This is a warning message.
2025-01-07 15:21:33 | log_test.cpp | main | 12 | This is an error message.
2025-01-07 15:21:33 | log_test.cpp | main | 13 | This is a critical message.
2025-01-07 15:21:33 | log_test.cpp | main | 14 | This is an alert message.
2025-01-07 15:21:33 | log_test.cpp | main | 15 | This is an emergency message.
2025-01-07 15:21:42 | log_test.cpp | main | 8 | This is a debug message.
2025-01-07 15:21:42 | log_test.cpp | main | 9 | This is an info message.
2025-01-07 15:21:42 | log_test.cpp | main | 10 | This is a notice message.
2025-01-07 15:21:42 | log_test.cpp | main | 11 | This is a warning message.
2025-01-07 15:21:42 | log_test.cpp | main | 12 | This is an error message.
2025-01-07 15:21:42 | log_test.cpp | main | 13 | This is a critical message.
2025-01-07 15:21:42 | log_test.cpp | main | 14 | This is an alert message.
2025-01-07 15:21:42 | log_test.cpp | main | 15 | This is an emergency message.
2025-01-07 15:21:45 | log_test.cpp | main | 8 | This is a debug message.
2025-01-07 15:21:45 | log_test.cpp | main | 9 | This is an info message.
2025-01-07 15:21:45 | log_test.cpp | main | 10 | This is a notice message.
2025-01-07 15:21:45 | log_test.cpp | main | 11 | This is a warning message.
2025-01-07 15:21:45 | log_test.cpp | main | 12 | This is an error message.
2025-01-07 15:21:45 | log_test.cpp | main | 13 | This is a critical message.
2025-01-07 15:21:45 | log_test.cpp | main | 14 | This is an alert message.
2025-01-07 15:21:45 | log_test.cpp | main | 15 | This is an emergency message.
2025-01-07 15:21:59 | log_test.cpp | main | 8 | This is a debug message.
2025-01-07 15:21:59 | log_test.cpp | main | 9 | This is an info message.
2025-01-07 15:21:59 | log_test.cpp | main | 10 | This is a notice message.
2025-01-07 15:21:59 | log_test.cpp | main | 11 | This is a warning message.
2025-01-07 15:21:59 | log_test.cpp | main | 12 | This is an error message.
2025-01-07 15:21:59 | log_test.cpp | main | 13 | This is a critical message.
2025-01-07 15:21:59 | log_test.cpp | main | 14 | This is an alert message.
2025-01-07 15:21:59 | log_test.cpp | main | 15 | This is an emergency message.
2025-01-07 15:44:12 | src/main.cpp | ServerInit | 37 | insert Listener into map failed
2025-01-07 15:45:34 | src/main.cpp | main | 54 | Server start
2025-01-07 18:00:59 | src/main.cpp | main | 60 | Server start
2025-01-07 18:02:02 | src/main.cpp | main | 60 | Server start
2025-01-07 18:04:00 | src/main.cpp | main | 60 | Server start
2025-01-07 18:07:02 | src/main.cpp | main | 60 | Server start
2025-01-07 18:14:06 | src/main.cpp | main | 60 | Server start
2025-01-07 18:14:06 | src/main.cpp | main | 76 | epoll_ctl success
2025-01-07 18:14:07 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:08 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:09 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:10 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:11 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:12 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:13 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:14 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:15 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:16 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:17 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:18 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:19 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:20 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:21 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:22 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:23 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:24 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:25 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:26 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:27 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:28 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:29 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:30 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:31 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:32 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:33 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:34 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:35 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:36 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:37 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:38 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:39 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:40 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:42 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:43 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:44 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:45 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:46 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:47 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:48 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:49 | src/main.cpp | main | 85 | epoll_wait return 0
2025-01-07 18:14:50 | src/main.cpp | main | 85 | epoll_wait return 0
